date,net_gex,spot_price,forward_return_t1,forward_return_t3,prediction_correct,detected,realized_vol_t1,realized_vol_t3,realized_vol_rolling_3d,realized_vol_rolling_5d,gex_regime,gex_concentration,net_call_gex,net_put_gex,put_call_ratio,data_quality_score,options_count,n_concentrated_strikes
2024-02-01,-31901061476.938866,490.19,,0.6997,,True,,0.6997,,,Negative,-0.8191470238762,-17671519082.341606,-14951571380.691147,0.8460829717594348,100.0,8552.0,3.0
2024-02-05,-35224169056.41251,492.6499999999999,0.201,1.1652,,True,0.201,1.1652,,,Negative,-0.8351518157952175,-19767242873.66095,-16065089952.931128,0.8127127316443918,100.0,8472.0,2.0
2024-02-06,-35717114239.237656,493.74,0.859,,,True,0.859,,,,Negative,-0.8442365280149726,-20425786044.056194,-16192551352.73446,0.7927504634489411,100.0,8328.0,3.0
2024-02-07,-31564622707.531284,497.88,0.1024,0.5584,,True,0.1024,0.5584,0.411324997214288,,Negative,-0.836748484350489,-19471193242.97767,-12486919518.929512,0.6413022233977853,100.0,8658.0,3.0
2024-02-08,-34635790114.72849,498.42,,-0.8729,,True,,0.8729,,,Negative,-0.8439036527247976,-20282878976.29713,-15223278888.299852,0.7505482286853853,100.0,8672.0,3.0
2024-02-12,-32508680977.040672,500.69,-1.3223,0.3216,,True,1.3223,0.3216,,,Negative,-0.8360398346703303,-17810087078.71097,-15206620622.881235,0.8538206778931613,100.0,8800.0,3.0
2024-02-13,-40689227409.09728,494.03,0.9878,,,False,0.9878,,,,Negative,-0.832835712104534,-19052726275.339714,-22027890433.75704,1.1561542487632404,100.0,8624.0,3.0
2024-02-14,-40235703229.30532,498.91,0.6715,,,True,0.6715,,1.2524540004859797,,Negative,-0.8366075537556918,-23433091978.938354,-17586850575.897083,0.7505134444786088,100.0,8452.0,3.0
2024-02-15,-38610847053.15757,502.29,,-1.1648,,True,,1.1648,,,Negative,-0.8371801164749981,-24208767940.603897,-15193487728.557085,0.6276026836984946,100.0,8260.0,3.0
2024-02-20,-34892202816.75696,496.42,0.1269,,,True,0.1269,,,,Negative,-0.8276769576978482,-16653203968.211145,-18790014630.605824,1.1283122855201666,100.0,7786.0,2.0
2024-02-21,-37018161385.16684,497.02,2.0945,1.8048,,True,2.0945,1.8048,,,Negative,-0.8312882164572931,-18921767435.310097,-18896078515.861115,0.998642361526913,100.0,8430.0,1.0
2024-02-22,-29886107066.784595,507.42,,-0.0926,,True,,0.0926,,,Negative,-0.825900228202831,-19008464258.586777,-11063575830.371529,0.5820341759263236,100.0,8374.0,3.0
2024-02-26,-36106348524.85041,506.0,0.1917,0.4012,,True,0.1917,0.4012,,,Negative,-0.8403709307213517,-19216458094.27713,-17515102754.632725,0.9114636354265988,100.0,8668.0,4.0
2024-02-27,-37276050901.84221,507.02,-0.3235,,,True,0.3235,,,,Negative,-0.8469620360716791,-20239719939.102905,-17806697319.71449,0.8797897092099657,100.0,9070.0,4.0
2024-02-28,-36759955643.93494,505.37,0.5343,1.3299,,True,0.5343,1.3299,0.4317844060793925,,Negative,-0.8492916797802543,-18113404923.669662,-19329573193.899647,1.067141891618663,100.0,8940.0,4.0
2024-02-29,-38475158189.79147,508.0,,-0.0827,,True,,0.0827,,,Negative,-0.8565728204418883,-21459306973.577305,-17525991072.91366,0.8167081581196116,100.0,8844.0,4.0
2024-03-04,-33239518019.27237,512.11,-0.8671,0.4921,,True,0.8671,0.4921,,,Negative,-0.8424665904001938,-17327848441.141792,-16456563333.752037,0.9497176403435611,100.0,8866.0,2.0
2024-03-05,-37611216460.821365,507.73,0.4531,,,True,0.4531,,,,Negative,-0.8335310109056506,-16580535116.159092,-21521705924.68756,1.2980103340399969,100.0,8836.0,4.0
2024-03-06,-36220868520.05544,509.97,0.9139,0.2824,,True,0.9139,0.2824,0.9244120365580132,,Negative,-0.8320096331970562,-18759485380.368114,-18206205846.53193,0.970506678481959,100.0,8644.0,2.0
2024-03-07,-33134024424.07073,514.61,,0.4412,,True,,0.4412,,,Negative,-0.8360631562075838,-18809701858.60836,-14808075677.252277,0.787257330741544,100.0,8560.0,2.0
2024-03-11,-34121193266.686398,511.38,1.0736,0.6532,,True,1.0736,0.6532,,,Negative,-0.8183067390578165,-17993606553.09307,-16801970219.216446,0.9337744587022891,100.0,8586.0,2.0
2024-03-12,-35538404428.991486,516.89,-0.1412,-1.3351,,True,0.1412,1.3351,,,Negative,-0.8386503541125958,-22538459858.271908,-13510559862.87547,0.5994446802414016,100.0,8628.0,2.0
2024-03-13,-37794870349.22486,516.11,-0.2751,-0.6084,,True,0.2751,0.6084,0.7430410419351008,,Negative,-0.8464087668070159,-22336904450.529663,-16104740505.963013,0.7209924965937314,100.0,8630.0,3.0
2024-03-14,-38163910800.1417,514.6700000000001,-0.9229,0.2215,,True,0.9229,0.2215,0.4180568023606364,,Negative,-0.8529217968568432,-21275570775.861786,-17491276138.920166,0.8221295834170947,100.0,8704.0,4.0
2024-03-15,-29291614807.390305,509.94,0.5942,2.1552,,True,0.5942,2.1552,0.7612401876762245,0.7796564737113394,Negative,-0.8178275659306116,-12632644971.215015,-17212294317.71129,1.3625249784927502,100.0,8614.0,3.0
2024-03-18,-29900010671.658936,513.29,0.5575,1.8208,,True,0.5575,1.8208,0.8654982630446658,0.6332871584044638,Negative,-0.823095041703282,-14975941935.766304,-15650882208.39214,1.0450683019152143,100.0,8260.0,3.0
2024-03-19,-31609933934.6659,515.85,0.9887,,,True,0.9887,,0.239064349774979,0.7731766369982996,Negative,-0.83377111543319,-16362192722.10769,-16201139348.455574,0.9901569810118108,100.0,8084.0,3.0
2024-03-20,-29174521111.255363,520.93,0.2649,-0.1977,,True,0.2649,0.1977,0.3641049848601364,0.728666941750482,Negative,-0.8313146490799764,-17198388536.14985,-12531946858.175524,0.7286698304224387,100.0,8196.0,3.0
2024-03-21,-31820076454.16373,522.35,,-0.605,,True,,0.605,,,Negative,-0.8383352351013578,-19292700532.34487,-12991986345.870895,0.673414606943667,100.0,8210.0,3.0
2024-03-25,-34494528864.801056,519.89,-0.1443,,,True,0.1443,,,,Negative,-0.84056960791103,-17500134356.840057,-17907011162.335854,1.0232499246691078,100.0,8402.0,3.0
2024-03-26,-36700496772.937935,519.17,0.7936,,,True,0.7936,,,,Negative,-0.8449936863548212,-18094882370.463333,-19588506787.861885,1.0825440247037266,100.0,8538.0,2.0
2024-03-27,-36280747179.67152,523.29,,-0.2026,,True,,0.2026,,,Negative,-0.8540605748283074,-21926974913.55357,-15228722307.74523,0.6945199858979181,100.0,8402.0,4.0
2024-04-01,-32905699168.894867,522.2199999999999,-0.6166,-1.6813,,True,0.6166,1.6813,,,Negative,-0.8396106330660609,-17650362986.95108,-15979790494.328657,0.9053519469340388,100.0,8316.0,0.0
2024-04-02,-34429913247.50734,519.04,0.1753,-0.1041,,True,0.1753,0.1041,,,Negative,-0.8347565700880097,-16146442859.430603,-18992024464.94649,1.1762358205017198,100.0,8198.0,0.0
2024-04-03,-35638686116.163864,520.15,-1.2445,-0.1789,,True,1.2445,0.1789,0.7114768747705957,,Negative,-0.8397659841121071,-18539187883.13188,-18015596727.66294,0.9717576002374226,100.0,8802.0,0.0
2024-04-04,-34514849660.189926,513.49,0.9778,1.3186,,True,0.9778,1.3186,1.1253485075003804,,Negative,-0.8236569712553918,-13960060624.777061,-21031711885.464245,1.5065630766771914,100.0,8790.0,0.0
2024-04-05,-32809979324.789043,518.41,0.1003,-0.9953,,True,0.1003,0.9953,1.1193086095145226,0.8443931211230942,Negative,-0.8232125488224651,-15862417807.534992,-17746162983.25728,1.1187552363440754,100.0,8854.0,0.0
2024-04-08,-34003512067.399323,519.33,0.237,-0.1464,,True,0.237,0.1464,0.4721365939358373,0.8046332872806098,Negative,-0.8291779686707762,-16576734556.13441,-18808002406.967022,1.1346023755931414,100.0,8806.0,0.0
2024-04-09,-34038842707.753983,520.21,-1.3284,-1.7724,,True,1.3284,1.7724,0.8670205437781356,1.0024141574219712,Negative,-0.8287523989222276,-16754094988.259277,-18336192920.190136,1.0944305217941968,100.0,8804.0,0.0
2024-04-10,-35264314951.76634,513.4300000000001,0.9585,-1.7651,,False,0.9585,1.7651,1.169112984274831,0.9390167905847052,Negative,-0.8285913240827754,-14469381062.360659,-21423022849.042995,1.4805763119177857,100.0,8802.0,0.0
2024-04-11,-37415377818.74056,518.17,-1.3952,-2.8367,,True,1.3952,2.8367,1.3400421349096954,1.0354296658875486,Negative,-0.8385723921307058,-18957685320.886253,-19322583093.711964,1.0192480129640982,100.0,8716.0,0.0
2024-04-12,-33457063110.38031,510.97,-1.321,-2.0353,,False,1.321,2.0353,1.3380040844481758,1.0963219974076963,Negative,-0.8223539916878464,-13204718431.95055,-20725628694.77845,1.5695623349779326,100.0,8492.0,0.0
2024-04-15,-34392603881.62373,504.24,-0.1428,-0.9222,,True,0.1428,0.9222,0.7026339302937203,1.0380541469499562,Negative,-0.81827902950742,-11995570893.67067,-22971987692.715763,1.9150391337219872,100.0,8310.0,0.0
2024-04-16,-36772303244.55794,503.5,-0.5819,-1.7259,,True,0.5819,1.7259,0.5954316165606262,0.9665510576270666,Negative,-0.828967564378343,-12960823413.09213,-24420610974.13034,1.8841866905973212,100.0,8086.0,2.0
2024-04-17,-35909690646.30245,500.56,-0.1998,-0.2757,,True,0.1998,0.2757,0.2387670482569438,0.5999175426673246,Negative,-0.8340938561548107,-12015425753.25445,-24475711411.80135,2.0370240650999785,100.0,8120.0,2.0
