date,pattern_type,detected,criterion_1_volatility_amplification,criterion_2_directional_followthrough,criterion_3_strike_convergence,criterion_4_range_expansion,realized_vol_t1,forecast_vol,price_change,distance_t,distance_t1,intraday_range,avg_5day_range
2024-06-26,stock_pinning,False,False,True,False,False,0.5884401752488564,0.6070154195445431,0.67999999999995,,,3.2100000000000364,3.310000000000014
2024-11-18,gamma_positioning,False,False,True,False,False,0.7056023123352848,0.804142598870478,2.3999999999999773,,,4.149999999999977,4.77199999999998
2024-07-17,0dte_hedging,False,False,True,False,False,0.7002549646281425,0.820010721224372,-7.919999999999959,,,3.899999999999977,4.589419999999973
2024-02-14,stock_pinning,False,True,True,False,True,0.9366789016587472,0.6997768729138484,4.490000000000009,,,4.670000000000016,3.482999999999981
2024-12-05,0dte_hedging,False,False,True,False,False,0.3585204233013662,0.4699652924339311,-1.0,,,2.175000000000068,2.8337999999999965
2024-11-27,gamma_positioning,False,False,True,False,False,0.5961625169079788,0.865695099033938,-1.8199999999999363,,,3.57000000000005,5.149499999999966
2024-02-07,stock_pinning,False,False,True,False,False,0.6364183898815416,1.0130837839654698,4.1200000000000045,,,3.169999999999959,4.963819999999987
2024-12-10,0dte_hedging,False,True,True,False,True,0.6088254810882481,0.4218478467906937,-1.8799999999999957,,,3.669999999999959,2.556799999999998
2024-10-15,0dte_hedging,False,True,True,False,True,1.096105419296978,0.7423003206035971,-4.540000000000077,,,6.355000000000018,4.292020000000025
2024-07-16,gamma_positioning,False,False,True,False,False,0.5417271536309786,0.7858656938982599,3.330000000000041,,,3.059999999999945,4.389439999999968
2024-06-13,gamma_positioning,False,False,True,False,False,0.6885427228315999,0.7191667790192504,1.0900000000000318,,,3.7350000000000136,3.859000000000015
2024-10-15,gamma_positioning,False,True,True,False,True,1.096105419296978,0.7423003206035971,-4.540000000000077,,,6.355000000000018,4.292020000000025
2024-10-18,0dte_hedging,False,False,True,False,False,0.4806787663148438,0.796061491566745,2.240000000000009,,,2.809999999999945,4.629000000000019
2024-06-21,gamma_positioning,False,False,True,False,False,0.4830030669776488,0.7493872917333526,-2.490000000000009,,,2.6299999999999955,4.089559999999983
2024-06-05,gamma_positioning,False,True,True,False,False,1.115566611180732,0.9813366936554138,6.279999999999973,,,5.9646000000000186,5.169999999999959
2024-09-30,gamma_positioning,False,True,True,False,True,1.0980200780814198,0.615646408898408,2.289999999999964,,,6.2999999999999545,3.5165000000000197
2024-04-02,stock_pinning,False,False,True,False,False,0.4818441137923059,0.5171334510138894,-3.3199999999999363,,,2.5,2.6970000000000254
2024-07-26,0dte_hedging,False,False,True,False,False,1.0469473220189636,1.202776888389605,6.030000000000086,,,5.7000000000000455,6.55300000000002
2024-04-10,0dte_hedging,False,False,True,False,False,0.7916439741694422,1.1424895888354192,-5.2000000000000455,,,4.069999999999936,5.903480000000013
2024-04-10,gamma_positioning,False,False,True,False,False,0.7916439741694422,1.1424895888354192,-5.2000000000000455,,,4.069999999999936,5.903480000000013
2024-09-30,stock_pinning,False,True,True,False,True,1.0980200780814198,0.615646408898408,2.289999999999964,,,6.2999999999999545,3.5165000000000197
