ticker,date,feature_version,_computed_at,atr_14,day_of_month,day_of_week,dist_to_flip,gex_concentration,gex_regime_encoded,is_month_end,is_month_start,log_ret_1d,month,net_call_gex,net_gex,net_gex_roc_10d,net_gex_roc_1d,net_gex_roc_3d,net_gex_roc_5d,net_gex_zscore_60d,net_put_gex,options_count,overnight_gap,price_vs_sma_21,price_vs_sma_5,price_vs_sma_50,put_call_ratio,realized_vol_10d,realized_vol_21d,realized_vol_5d,realized_vol_60d,realized_vol_rolling_3d,realized_vol_rolling_5d,realized_vol_t1,realized_vol_t3,relative_volume,ret_10d,ret_1d,ret_21d,ret_3d,ret_5d,sma_10,sma_21,sma_5,sma_50,spot_price,target_any_materialization,target_directional_move,target_gap_move,target_range_expansion,target_return_pct,volume_sma_21,volume_sma_5,gap_abs,gap_large,ret_accel,ret_momentum,sma_10_50_diff,sma_5_21_diff,sma_5_21_cross,vol_ratio_5_21,vol_ratio_5_60,vol_spike
SPY,2024-03-19,v1.0,2026-05-18T01:54:56.147260+00:00,4.944911357142847,19.0,1.0,0.83377111543319,-0.83377111543319,-1.0,0.0,0.0,0.0055417494272799,3.0,-16362192722.10769,-31609933934.6659,0.049025502826534,-0.0571880485858065,0.1717323179953419,0.1105415551836317,0.0,-16201139348.455574,8084.0,-0.0013843270228551,0.0145889756293058,0.0048412184218513,0.040928939794758,0.9901569810118108,0.1079795914733666,0.1112944263436206,0.0993386379502977,0.112203038223391,0.239064349774979,0.7731766369982996,0.9887,0.0,0.8622221894836519,0.0199778452586892,0.0055571333254115,0.0356395728832701,0.0045875166049081,0.0010299551777773,500.08192450000007,496.21805390476186,501.0317628,483.66161007999995,515.85,1.0,1.0,0.0,0.0,0.924938434391418,70463623.8095238,84514160.0,0.0013843270228551,0,-0.0009696167205034004,0.036669528061047396,16.420314420000125,4.813708895238165,1,0.8925750577826776,0.8853470518244667,0
SPY,2024-03-20,v1.0,2026-05-18T01:54:56.147262+00:00,5.026050428571422,20.0,2.0,0.8313146490799764,-0.8313146490799764,-1.0,0.0,0.0,0.0092070642210611,3.0,-17198388536.14985,-29174521111.255363,0.2243132805436987,0.0770458055510098,0.0039975159070232,0.2280825190910145,0.0,-12531946858.175524,8196.0,0.0001166136476457,0.021556148180521,0.0117273322243656,0.0485528221843183,0.7286698304224387,0.0946011088909801,0.1099895145019709,0.0775945647613065,0.1079601382881852,0.3641049848601364,0.728666941750482,0.2649,0.1977,0.9890988999684622,0.0242221311312746,0.0092495796173343,0.0510049647691982,0.0208895064784918,0.0118751224868041,501.28357859999994,497.3922744285713,502.22438380000006,484.58611264,520.93,0.0,0.0,1.0,0.0,0.3304641869044011,70361619.04761904,87412260.0,0.0001166136476457,0,0.0116399268611575,0.0628800872560023,16.69746595999993,4.832109371428771,1,0.7054723175925366,0.7187334029421503,0
SPY,2024-03-21,v1.0,2026-05-18T01:54:56.147265+00:00,4.916994142857139,21.0,3.0,0.8383352351013578,-0.8383352351013578,-1.0,0.0,0.0,0.0032990184727755,3.0,-19292700532.34487,-31820076454.16373,0.1214988001586709,-0.0906803348311937,-0.0642162239869951,0.166226002864319,0.0,-12991986345.870895,8210.0,0.0055908226099814,0.0223967336917256,0.0115920329812972,0.049911567881917,0.673414606943667,0.0999215319891044,0.1097079773887735,0.0936761324735464,0.107891518696178,0.0,0.0,0.0,0.605,0.8558198004851623,0.0175064505742006,0.0033044662233133,0.0535237304186264,0.0182116784493488,0.0172298594798276,502.1606904,498.6255972857142,503.9513611999999,485.55821042,522.35,0.0,0.0,0.0,0.0,-0.1895825354270411,70407461.90476191,77429120.0,0.0055908226099814,0,0.014907212226035499,0.07075358989845401,16.60247998,5.325763914285687,1,0.853867933440299,0.868243629556292,0
SPY,2024-03-25,v1.0,2026-05-18T01:54:56.147267+00:00,4.476280142857141,25.0,0.0,0.84056960791103,-0.84056960791103,-1.0,0.0,0.0,-0.0027668156248537,3.0,-17500134356.840057,-34494528864.801056,-0.0410606457977367,-0.0840492138505646,-0.0912559620054025,-0.1776246919680935,0.0,-17907011162.335854,8402.0,-0.0027054945412932,0.0149162741576174,-0.0002001743918876,0.0412148959164877,1.0232499246691078,0.0851960550633783,0.0898476793895362,0.0583735178559435,0.1080525648679276,0.0,0.0,0.1443,0.0,0.6937779114668718,0.0197639776368726,-0.0027629915181818,0.0266514222956258,-0.0013643942391714,0.0134734475254427,504.2253114,499.96327866666667,507.522461,487.3353906000001,519.89,0.0,0.0,0.0,0.0,-0.1846970775535402,69924538.09523809,63637780.0,0.0027054945412932,0,0.0013985972790103998,0.0401248698210685,16.889920799999913,7.559182333333354,1,0.6496941463109209,0.5402325481580917,0
SPY,2024-03-26,v1.0,2026-05-18T01:54:56.147268+00:00,4.358090714285717,26.0,1.0,0.8449936863548212,-0.8449936863548212,-1.0,0.0,0.0,-0.0018486854117286,3.0,-18094882370.463333,-36700496772.937935,-0.0755924180638135,-0.063951240406356,-0.2579639827842484,-0.2274409255554185,0.0,-19588506787.861885,8538.0,0.0028088951201747,0.0116883509908818,-0.0032355038471073,0.0374792484546337,1.0825440247037266,0.0873489959970797,0.0909367013815398,0.0716279453550058,0.1084107465325575,0.0,0.0,0.7936,0.0,0.9266901486445194,0.0070471934944713,-0.0018469776453891,0.0285222391099803,-0.0064918659504551,0.0060110472074987,504.5797424999999,500.6321091904762,508.1277222,488.18679868,519.17,1.0,1.0,1.0,0.0,0.8403847265858433,70642490.47619048,64579460.0,0.0028088951201747,0,-0.004644888305066,0.034533286317479,16.392943819999914,7.495613009523765,1,0.7876680854938671,0.6607088415022248,0
SPY,2024-03-27,v1.0,2026-05-18T01:54:56.147270+00:00,4.238092642857148,27.0,2.0,0.8540605748283074,-0.8540605748283074,-1.0,0.0,0.0,0.0083689049563149,3.0,-21926974913.55357,-36280747179.67152,-0.0208884659457148,0.0114371638036227,-0.1401841611516334,-0.1477640938655439,0.0,-15228722307.74523,8402.0,0.0055899649898487,0.0185061743042214,0.0041034726795763,0.0441223495190927,0.6945199858979181,0.0753111361537881,0.0899572737128437,0.0721002390313738,0.108601789507219,0.0,0.0,0.0,0.2026,1.148492762699079,0.0171046985264479,0.0084040221371558,0.035242679985009,0.0037604567615187,0.0051682029960293,505.4386567,501.46006561904767,508.6529296,489.1573992599999,523.29,0.0,0.0,0.0,0.0,-0.0191142458474127,72268457.14285715,67260500.0,0.0055899649898487,0,-0.0046435653756371,0.040410882981038294,16.281257440000104,7.192863980952325,1,0.8014941765196902,0.6638954359737027,0
SPY,2024-04-01,v1.0,2026-05-18T01:54:56.147272+00:00,3.8756595,1.0,0.0,0.8396106330660609,-0.8396106330660609,-1.0,0.0,1.0,-0.0017413978945344,4.0,-17650362986.95108,-32905699168.894867,0.1293607078197125,0.0930258683500246,0.0460603390796696,-0.1278916642165563,0.0,-15979790494.328655,8316.0,0.0014528892038968,0.0133426800780289,0.0014652041264131,0.0379885771949215,0.9053519469340388,0.080718718427349,0.092691950382975,0.0651413848539745,0.1081504327887016,0.0,0.0,0.6166,1.6813,0.8541964712268778,0.0241843964717368,-0.0017398825409596,0.0309052706010241,0.0064570413111815,0.0018224415213136,507.5907776,503.04212880952383,509.008258,491.09794674000005,522.2199999999999,1.0,1.0,1.0,0.0,-0.6358204381798561,73141838.09523809,71149600.0,0.0014528892038968,0,0.008196923852141099,0.0327277121223377,16.49283085999997,5.966129190476181,1,0.7027727602785625,0.602321943158792,0
SPY,2024-04-02,v1.0,2026-05-18T01:54:56.147274+00:00,3.818486285714284,2.0,1.0,0.8347565700880097,-0.8347565700880097,-1.0,0.0,1.0,-0.0063782600471769,4.0,-16146442859.430605,-34429913247.50734,0.0978410617347029,-0.046320671406772,0.0618679234637736,-0.0820185582238632,0.0,-18992024464.94649,8198.0,-0.0075071064809314,0.006195180298004,-0.0045469996259048,0.0298371417963962,1.1762358205017198,0.0695862314393634,0.0931412481207371,0.0648789639041396,0.1064398521750455,0.0,0.0,0.1753,0.1041,1.0166119710250163,0.0116602834746014,-0.0063579621246331,0.0148234351634337,-0.0082764411798091,-0.0017890592548511,508.1745789,503.39444266666675,508.8266968,491.8380212199999,519.04,0.0,0.0,0.0,0.0,0.1098604579446334,73017338.09523809,76293240.0,0.0075071064809314,0,-0.0019184790551760008,0.0130343759085826,16.336557680000055,5.432254133333231,1,0.6965652516743797,0.609536338908848,0
SPY,2024-04-03,v1.0,2026-05-18T01:54:56.147276+00:00,3.852565071428574,3.0,2.0,0.8397659841121071,-0.8397659841121071,-1.0,0.0,1.0,0.0010978189973009,4.0,-18539187883.13188,-35638686116.163864,-0.2166856061200213,-0.0351082170892207,0.0176970187611628,-0.0331692383985661,0.0,-18015596727.66294,8802.0,-0.0021588485708192,0.0064920575285711,-0.0036829615071272,0.029437594821025,0.9717576002374226,0.0779935274862951,0.0923110150278869,0.0766481172322792,0.107260635478915,0.7114768747705957,0.0,1.2445,0.1789,0.8052474310643158,0.0071745101705901,0.0010984218211534,0.0170287330086141,-0.0069972434355676,0.0011565111201521,508.5357849,503.7987366190477,508.9438476,492.56936948,520.15,1.0,1.0,1.0,1.0,-1.2206156985810668,73462885.71428572,75031660.0,0.0021588485708192,0,-0.008095665256721,0.0181852441287662,15.966415420000033,5.1451109809523246,1,0.8303246249201981,0.714596829900175,0
SPY,2024-04-04,v1.0,2026-05-18T01:54:56.147277+00:00,4.258154000000003,4.0,3.0,0.8236569712553918,-0.8236569712553918,-1.0,0.0,0.0,-0.0122811261090449,4.0,-13960060624.77706,-34514849660.189926,-0.1543423860013942,0.0315341719476079,-0.048901878152954,0.0595536111205898,0.0,-21031711885.464245,8790.0,0.0079129854539622,-0.0064772063254725,-0.0120158772905913,0.0156760549899668,1.5065630766771914,0.0744938096770095,0.0921019827731646,0.0760413173354733,0.1072665808237571,1.1253485075003804,0.0,0.9778,1.3186,1.2982639370032905,-0.014236976473333,-0.0122060208532351,0.0147564941091797,-0.017408261578943,-0.019305405216284,507.8123840000001,504.145581952381,506.9718384,493.1494885,513.49,1.0,1.0,0.0,0.0,1.044691757459976,74605861.90476191,77803320.0,0.0079129854539622,0,-0.005202240725707899,-0.004548911107104299,14.662895500000104,2.8262564476190164,1,0.8256207607011644,0.7089002899366117,0
SPY,2024-04-05,v1.0,2026-05-18T01:54:56.147279+00:00,4.407034928571428,5.0,4.0,0.8232125488224651,-0.8232125488224651,-1.0,0.0,0.0,0.0103927505229103,4.0,-15862417807.534992,-32809979324.789043,-0.0379641853286849,0.0493952705048955,0.0470501889177887,0.095664177964537,0.0,-17746162983.25728,8854.0,0.0027092630089514,0.0029532905657874,9.267449277494676e-05,0.0248850811869643,1.1187552363440754,0.0826110025729763,0.0955107547367847,0.0776968619597821,0.1079112363660977,1.1193086095145226,0.8443931211230942,0.1003,0.9953,0.995288473324724,-0.0072193766608671,0.0104469427272765,0.0201879591857323,-0.000790244181304,-0.0088706362067379,507.4443451,504.6224961428573,506.0658936,493.82394406,518.41,0.0,0.0,0.0,0.0,0.0559381208649339,74899390.47619048,73453640.0,0.0027092630089514,0,-0.0112371869085805,0.011317322978994399,13.620401040000047,1.4433974571426802,1,0.813488010214394,0.7200070852317761,0
SPY,2024-04-08,v1.0,2026-05-18T01:54:56.147281+00:00,4.172738285714282,8.0,0.0,0.8291779686707762,-0.8291779686707762,-1.0,0.0,0.0,0.0005590471146496,4.0,-16576734556.13441,-34003512067.399323,-0.1655208302384426,-0.0363771257151791,0.045881995857948,-0.0333623939388042,0.0,-18808002406.967026,8806.0,0.001388733914102,0.0030055238663861,0.0019817570364082,0.0241542612871628,1.1346023755931414,0.0982751328221372,0.1000309058129753,0.120453274393638,0.1092873334549499,0.4721365939358373,0.8046332872806098,0.237,0.1464,0.6504632010161797,-0.0047775377187715,0.0005592034106119,0.0107255735547805,-0.0013284453057747,-0.0065879730444677,507.2012512,504.878388952381,505.3942444000001,494.45267392,519.33,0.0,0.0,1.0,0.0,0.1156693399136379,74411280.95238096,70638500.0,0.001388733914102,0,-0.0018876487163866,0.0041376005103128,12.748577280000006,0.5158554476191171,1,1.2041604679381896,1.102170393987945,0
SPY,2024-04-09,v1.0,2026-05-18T01:54:56.147284+00:00,4.278731571428572,9.0,1.0,0.8287523989222276,-0.8287523989222276,-1.0,0.0,0.0,0.0011560432999506,4.0,-16754094988.259275,-34038842707.753983,-0.0697285016516646,-0.0010390291533601,0.0137913668210173,0.0113584526612674,0.0,-18336192920.190136,8804.0,0.0034315291623472,0.0033171835194583,0.0029548115115149,0.0239875913501772,1.0944305217941968,0.0982325954436106,0.0948809457528069,0.1213745921499671,0.1089759938560914,0.8670205437781356,1.0024141574219712,1.3284,1.7724,0.925447572055008,-0.0008657527265906,0.001156711775577,0.0180049557238889,0.0121814375757814,0.0009249613389042,507.1573211,505.30537633333336,505.4879454,495.10518612,520.21,1.0,1.0,1.0,0.0,-1.0013094046060318,73531123.8095238,69402280.0,0.0034315291623472,0,0.0110247258002044,0.0189299170627931,12.052134980000005,0.18256906666664463,1,1.2792302858561417,1.113773563492461,0
SPY,2024-04-11,v1.0,2026-05-18T01:54:56.147286+00:00,4.659469928571419,11.0,3.0,0.8385723921307058,-0.8385723921307058,-1.0,0.0,0.0,0.0075185314856852,4.0,-18957685320.886253,-37415377818.74056,-0.0194787839038125,-0.0609982887776606,-0.1003386280975472,-0.0840371082912802,-1.0438230266482345,-19322583093.711964,8716.0,0.0030342866336284,0.0001004433305122,0.0005446719215571,0.0192544198538386,1.0192480129640982,0.1086572466681375,0.0990570028308886,0.1310585965271694,0.1114033762521749,1.3400421349096954,1.0354296658875486,1.3952,2.8367,0.9428946516530708,-0.0098822087370833,0.007546866611867,0.005474954255022,-0.0013880071318835,0.009608696253984,506.1947418,505.64214361904754,505.4176452,496.14004330000006,518.17,1.0,1.0,1.0,0.0,-1.380308880308876,74344466.66666667,68749860.0,0.0030342866336284,0,-0.0089348737437505,0.015083650509006001,10.054698499999915,-0.2244984190475634,0,1.3230622727430144,1.1764327902071359,0
SPY,2024-04-15,v1.0,2026-05-18T01:54:56.147288+00:00,5.872785785714277,15.0,0.0,0.81827902950742,-0.81827902950742,-1.0,0.0,0.0,-0.01260717620937,4.0,-11995570893.67067,-34392603881.62373,-0.0451868445370827,-0.0279624295819666,0.024719353582649,-0.0114426949031965,-0.02076489515383,-22971987692.715763,8310.0,0.0083782800387381,-0.0249462955954522,-0.0173331285792774,-0.0092099317090279,1.9150391337219872,0.1230158420500918,0.1068697297595477,0.1248445214137566,0.11506505634156,0.7026339302937203,1.0380541469499562,0.1428,0.9222,1.2236520545983085,-0.0339165381712045,-0.0125280386794115,-0.0173464733333407,-0.0188086445127145,-0.0275097989406163,503.2728668,505.06445314285713,501.1514892,497.04269528,504.24,0.0,0.0,0.0,0.0,-0.1823768460699803,75267638.09523809,81092700.0,0.0083782800387381,0,-0.006280605833302999,-0.044856272273957,6.230171519999999,-3.912963942857118,0,1.1681933697476141,1.0849906525336472,0
SPY,2024-04-16,v1.0,2026-05-18T01:54:56.147290+00:00,5.95018892857142,16.0,1.0,0.828967564378343,-0.828967564378343,-1.0,0.0,0.0,-0.0018254761232553,4.0,-12960823413.09213,-36772303244.55794,-0.0680335724406794,-0.0691921836196211,0.0171874403433264,-0.0803041560570235,-0.7935157649527218,-24420610974.13034,8086.0,0.0009713198562839,-0.0261599119883365,-0.0130538930384842,-0.0114328963279031,1.8841866905973212,0.1321729769024784,0.1146012020440961,0.1338809636165586,0.1174358317040236,0.5954316165606262,0.9665510576270666,0.5819,1.7259,0.9978699067242752,-0.0295081412925141,-0.0018238109551127,-0.0123569580912426,-0.0279342029641023,-0.0304049792011471,501.7782409,504.7715831904762,498.0685364,497.25183164,503.5,1.0,1.0,1.0,0.0,-0.5918217385259988,73640861.90476191,82179660.0,0.0009713198562839,0,-0.0261103920089896,-0.0427619372923897,4.526409260000037,-6.703046790476151,0,1.1682334002282984,1.140034947371366,0
SPY,2024-04-17,v1.0,2026-05-18T01:54:56.147292+00:00,6.138455428571421,17.0,2.0,0.8340938561548107,-0.8340938561548107,-1.0,0.0,0.0,-0.0059358215400199,4.0,-12015425753.25445,-35909690646.30245,-0.0076042233783605,0.0234582150734098,-0.0733067193564038,-0.0183010983034503,-0.4841410207912389,-24475711411.80135,8120.0,0.0050046443026382,-0.0308245760361912,-0.0136479169746096,-0.0176509007800497,2.0370240650999785,0.1314077610595232,0.1126514587251064,0.1275083832246018,0.115178179522115,0.2387670482569438,0.5999175426673246,0.1998,0.2757,1.0395449525068912,-0.0363102822209787,-0.0059182393567776,-0.0240025062642975,-0.0201624377602774,-0.0263944866185176,499.9370575,504.1993233809523,495.4190308,497.43781858,500.56,0.0,0.0,0.0,0.0,-0.2057736489861211,73022623.8095238,80831160.0,0.0050046443026382,0,-0.014244198403499799,-0.0503969928828151,2.499238919999982,-8.780292580952334,0,1.131883895235751,1.107053199513258,0
