day,feature_version,ticker,_computed_at,atr_14,call_gex,day_of_week,gamma_flip,gex_n_strikes,month,net_gex,price_vs_sma_21,price_vs_sma_5,put_gex,realized_vol_21d,realized_vol_5d,relative_volume,ret_1d,ret_21d,ret_5d,rsi_14,sma_21,sma_5,spot,target_directional_move,target_return_pct,total_dex,total_vega,total_vex
2024-07-26,v2.0_gex,SPY,2026-05-18T09:14:44.622538+00:00,6.702527428571427,19105922.0,4.0,,7512,7.0,-17618760.48,-0.014156712114669512,-0.003773208306477316,-36724682.48,0.13581648056288292,0.2203390683122452,1.1317348000794292,0.011199477809210823,-0.0019617438205586923,-0.00828796677961574,41.404925752911254,540.8764532380952,535.2389892,533.219421,1,0.0005878949409084528,-437293673791.89,822098697.6,-285192490.59
2024-07-29,v2.0_gex,SPY,2026-05-18T09:14:44.622962+00:00,6.8725327142857155,17185988.62,0.0,,7429,7.0,-22303102.51,-0.01344019019114906,0.0004334364211389108,-39489091.13,0.135706684187514,0.1968164068290692,0.8280985896518587,0.0005878949409083845,-0.002946538324140824,-0.017831143482807676,41.199974248842324,540.8013712857143,533.3017456,533.532898,0,-0.005066463586655906,-446369589403.65,801007588.03,-370460600.66
2024-07-30,v2.0_gex,SPY,2026-05-18T09:14:44.623389+00:00,7.080300714285719,15473117.77,1.0,,7502,7.0,-22625522.45,-0.01825060974952475,-0.0003098458875846477,-38098640.21,0.13616427483587035,0.19611332691773578,1.0114344942306355,-0.005066463586655856,-0.004079132866941615,-0.021272000167620653,33.92683605895445,540.6978382380952,530.9942994,530.829773,1,0.01625458562965723,-422360292347.88,800716549.74,-177346557.75
2024-07-31,v2.0_gex,SPY,2026-05-18T09:14:44.623827+00:00,7.430082214285717,22654382.86,2.0,,7494,7.0,-11903991.14,-0.0027631918230393016,0.012362054440388404,-34558374.0,0.14735487442257902,0.1538849941446731,1.3814626540209627,0.016254585629657203,0.010030501896316935,0.0177004329059669,45.575148142335145,540.9529477619047,532.870813,539.458191,0,-0.0141608008321076,-446890690612.17,797041358.41,-1010356524.53
2024-08-01,v2.0_gex,SPY,2026-05-18T09:14:44.624253+00:00,8.007218071428563,14520424.13,3.0,,7583,8.0,-27227360.76,-0.01637605690033561,-0.0036585514076296066,-41747784.89,0.15393774989696593,0.19427517494072308,1.5519844287391835,-0.014160800832107578,-0.010928644659635722,0.008543772519869597,37.58044041312213,540.6731248571429,533.7718628,531.819031,0,-0.01861861539889127,-451009721592.07,816309953.6,-199513529.81
2024-08-02,v2.0_gex,SPY,2026-05-18T09:14:44.624668+00:00,8.65082614285713,12236352.39,4.0,,7744,8.0,-24233606.44,-0.03314187381943501,-0.01805067645599756,-36469958.84,0.16512661479504007,0.21750870931676572,1.6036099995498823,-0.018618615398891314,-0.03365611260073853,-0.021196009662971416,31.392138826078508,539.807530047619,531.511438,521.917297,0,-0.029123702332478883,-403268790594.49,833189185.9,575817209.38
2024-08-05,v2.0_gex,SPY,2026-05-18T09:14:44.625100+00:00,9.980008285714275,9353839.58,0.0,,7878,8.0,-24824628.93,-0.05826878743783015,-0.03693094238632744,-34178468.51,0.18883537269902553,0.2731299074155606,2.583491106950915,-0.02912370233247885,-0.06717881610603538,-0.050260752618107585,23.361799621792088,538.0698082857143,526.148285,506.717133,1,0.009219706016926815,-369393278240.66,803433946.63,1140171555.17
2024-08-06,v2.0_gex,SPY,2026-05-18T09:14:44.625534+00:00,10.268236785714278,12627241.06,1.0,,8264,8.0,-23973510.73,-0.046849263662569474,-0.020815676550643758,-36600751.78,0.19322078547600846,0.3069960988828358,1.4392956328077051,0.009219706016926787,-0.05966357096754893,-0.03662352412926928,29.766278861375255,536.5247032857143,522.2601136000001,511.388916,0,-0.006684055702138097,-385229239474.18,818018364.88,785351328.21
2024-08-07,v2.0_gex,SPY,2026-05-18T09:14:44.625950+00:00,10.579543857142852,11837227.18,2.0,,8743,8.0,-26181266.54,-0.05015202963333998,-0.015489230737273929,-38018493.71,0.1930981404036409,0.22949506424247074,1.1589304423619051,-0.0066840557021381475,-0.06685608520937836,-0.058368614149006515,30.042308937234722,534.7916507142857,515.9626282,507.970764,1,0.023117314680732238,-380001266059.06,818574808.28,991678499.41
2024-08-08,v2.0_gex,SPY,2026-05-18T09:14:44.626390+00:00,11.03145828571428,19992970.03,3.0,,8718,8.0,-17164095.93,-0.02558789142836171,0.012018745307434298,-37157065.96,0.2088657402311946,0.33414541122900043,1.017745325739201,0.023117314680732193,-0.05463904736304115,-0.02276215459465203,40.192576524067704,533.3612743809524,513.5415588,519.713684,1,0.004409753043947286,-424579640107.27,841961685.62,243264247.47
